PRODUCTNAME;DESCRIPTION;IMGURL;PRICE;CODE;SLEVA;KATEGORIE;PARAMETRY;AKCE;DOPORUCUJEME;DAREK;MATERIAL;DOSTUPNOST;STANDARD_PRICE;ROZMERY;BARVY
Bambusová mísa kulatá;Mísa z přírodního bambusu v provedení dle obrázku. Bambus je štípán na tenké proužky a poté lepen, lisován a broušen do požadovaného tvaru. každý kus se tak stává originálem.;/nabytek_doplnky/nahledy/1194.jpg;390;10013;;Bambusové misky a vázy;průměr 36 cm Výrobek je určen k dekorativním účelům.;0;0;0;;2 až 3 týdny;0;;
Bambusová miska;Ratan, proutí -miska z přírodního bambusu, velikost: průměr 36, výška 5 cm;/nabytek_doplnky/nahledy/448.jpg;99;5454;;Proutí a košíky;;0;0;0;;2 až 3 týdny;0;;
Bambusová miska;Bambusová miska je vhodná pro servírování oříšků, chipsů apod. Svým designem je vhodná jako dekorace nebo jako dárek.;/nabytek_doplnky/nahledy/2340.jpg;189;90089;;Bambus v kuchyni;Průměr misky je 15 cm, výška 5 cm;0;0;0;Přírodní bambus;2 až 3 týdny;0;;
Bambusová miska atyp RED;Atypická miska vyrobená z přírodního bambusu. Bambus je štípán na tenké proužky a poté lepen, lisován a broušen do požadovaného tvaru. každý kus se tak stává originálem.;/nabytek_doplnky/nahledy/282.jpg;449;10015;;Bambusové misky a vázy;Materiál - přírodní bambus rozměr 27x21x20 cm Výrobek je určen k dekorativním účelům.;0;0;0;Přírodní bambus;2 až 3 týdny;0;;
Bambusová miska atyp Y;Atypická miska vyrobená z přírodního bambusu. Bambus je štípán na tenké proužky a poté lepen, lisován a broušen do požadovaného tvaru. každý kus se tak stává originálem.;/nabytek_doplnky/nahledy/1181.jpg;449;10015 OR;;Bambusové misky a vázy;Materiál - přírodní bambus rozměr 27x21x20 cm Výrobek je určen k dekorativním účelům.;0;0;0;;2 až 3 týdny;0;;
Bambusová miska bílá malá;Miska z přírodního bambusu v barevném provedení dle obrázku;/nabytek_doplnky/nahledy/1197.jpg;99;10031;;Bambusové misky a vázy;průměr 20 cm Výrobek je určen k dekorativním účelům.;0;0;0;;2 až 3 týdny;0;;
Bambusová miska bílá střední;Miska z přírodního bambusu v barevném provedení dle obrázku;/nabytek_doplnky/nahledy/1196.jpg;189;10030;;Bambusové misky a vázy;průměr 25 cm Výrobek je určen k dekorativním účelům.;0;0;0;;2 až 3 týdny;0;;
Bambusová miska bílá velká;Miska z přírodního bambusu v barevném provedení dle obrázku.;/nabytek_doplnky/nahledy/1195.jpg;269;10029;;Bambusové misky a vázy;průměr 30 cm Výrobek je určen k dekorativním účelům.;0;0;0;Přírodní bambus;2 až 3 týdny;0;;
Bambusová miska dlouhá OR;Atypická miska vyrobená z přírodního bambusu. Bambus je štípán na tenké proužky a poté lepen, lisován a broušen do požadovaného tvaru. každý kus se tak stává originálem.;/nabytek_doplnky/nahledy/241.jpg;289;10053;;Bambusové misky a vázy;Materiál - přírodní bambus rozměr 48x9x4 cm Výrobek je určen k dekorativním účelům.;0;0;0;Přírodní bambus;2 až 3 týdny;0;;
Bambusová miska oranž;Atypická miska vyrobená z přírodního bambusu. Bambus je štípán na tenké proužky a poté lepen, lisován a broušen do požadovaného tvaru. každý kus se tak stává originálem.;/nabytek_doplnky/nahledy/255.jpg;199;10106;;Bambusové misky a vázy;Materiál - přírodní bambus rozměr 23x18 cm Výrobek je určen k dekorativním účelům.;0;0;0;;2 až 3 týdny;0;;
